Internals 	 minnodeR: 1 	 TSnode: 3 	 minnodeP: 5
Out-of-Plane 3-2-4-7	-0.04715229193663936	-0.030124167760698695	-0.007935552116189076
Dihedral 5-1-2-3	2.812776813699383	3.1059715044924747	-3.1300681291008967
Dihedral 5-1-2-6	-0.4250751939125784	-0.09166357232447635	-0.005308449411655129
Dihedral 9-1-2-3	0.5822456401270415	0.15825133960093632	-0.008674153348716497
Dihedral 9-1-2-6	-2.6556063674849204	-3.039383737216015	3.1160855263405254
Dihedral 12-1-2-3	-1.2279777959779357	-1.3419568041249537	-1.4821252777610638
Dihedral 12-1-2-6	1.8173555035896893	1.7435934262376818	1.642634401928178
Dihedral 2-1-9-4	-0.8775440623668165	-0.2428936913176944	0.01347797304350799
Dihedral 2-1-9-10	1.1546279700673772	1.7554072850904945	2.1311362803009195
Dihedral 2-1-9-11	-2.9247667061625036	-2.4400539714683704	-2.075288938251128
Dihedral 5-1-9-4	-3.0889535949511213	3.086606566101662	3.135670565836627
Dihedral 5-1-9-10	-1.0567815625169272	-1.1982777646697356	-1.029856434085548
Dihedral 5-1-9-11	1.147009068432778	0.8894462859509856	1.0469036545419912
Dihedral 12-1-9-4	1.02561648784694	1.4057065542568894	1.4989039184541002
Dihedral 12-1-9-10	3.0577885202811337	-2.879177776514508	-2.6666230814680745
Dihedral 12-1-9-11	-1.0216061559487473	-0.791453725893787	-0.5898629928405356
Dihedral 2-1-12-13	1.1563141494788265	1.0906326510876683	1.199321668141177
Dihedral 2-1-12-14	-3.0596464567486197	-3.0498494014480864	-2.971514231199686
Dihedral 2-1-12-15	-0.9626764017586213	-1.0321201199192622	-0.925063580939062
Dihedral 5-1-12-13	-2.866951086607993	-2.9523104944654643	-2.870395442380516
Dihedral 5-1-12-14	-0.7997263856558527	-0.8096072398216324	-0.7580460345417924
Dihedral 5-1-12-15	1.2972436693341456	1.2081220417071916	1.2884046157188314
Dihedral 9-1-12-13	-0.657976706238162	-0.7948765914031759	-0.7153271193243463
Dihedral 9-1-12-14	1.4092479947139787	1.347826663240656	1.3970222885143775
Dihedral 9-1-12-15	-2.7769672574756097	-2.9176293624101066	-2.839712368404585
Dihedral 1-2-3-4	0.004352750504271312	0.0022974188524421115	-0.0003308138852280717
Dihedral 1-2-3-7	3.040452355474716	3.0797131487994536	3.124280470384509
Dihedral 6-2-3-4	-3.0377575608904723	-3.0846023419475253	-3.125274933159853
Dihedral 6-2-3-7	-0.0016579559200278335	-0.007186612000514065	-0.0006636488901157857
Dihedral 2-3-4-8	-2.819129303588388	-3.1222813263615623	3.1352435538913417
Dihedral 2-3-4-9	-0.5892946001570013	-0.1619575303589797	0.009188229865358671
Dihedral 2-3-4-13	1.228128831948017	1.3485754081207602	1.4104722255536781
Dihedral 7-3-4-8	0.42463577534271946	0.0851357337249494	0.010827627658131557
Dihedral 7-3-4-9	2.654470478774106	3.0454595297275318	-3.115227696367852
Dihedral 7-3-4-13	-1.8112913963004622	-1.7271928389723146	-1.7139437006795322
Dihedral 3-4-9-1	0.8798032993797176	0.2448116770128125	-0.013688262336811072
Dihedral 3-4-9-10	-1.1529475073564197	-1.7547211666624702	-2.1318976063967128
Dihedral 3-4-9-11	2.9268121779176663	2.4424368172777733	2.0746299283314524
Dihedral 8-4-9-1	3.093182823509456	-3.0710638973125866	-3.140369257656134
Dihedral 8-4-9-10	1.0604320167733188	1.2125885661917173	1.0246067054635506
Dihedral 8-4-9-11	-1.1429936051321816	-0.8734387570476259	-1.0520510669878702
Dihedral 13-4-9-1	-1.0161030226783359	-1.3547547531981567	-1.4359080041342174
Dihedral 13-4-9-10	-3.048853829414473	2.9288977103061473	2.729067958985467
Dihedral 13-4-9-11	1.0309058558596131	0.8428703870668038	0.6524101865340466
Dihedral 3-4-13-12	-1.1874821990245754	-1.3441307270118659	-1.292635349342886
Dihedral 3-4-13-16	0.9216341131991806	0.7844928215399928	0.8341968750430282
Dihedral 3-4-13-17	3.02006964434101	2.80998825175169	2.887321660497983
Dihedral 8-4-13-12	2.8399471904419222	2.7040502309543313	2.780630942648843
Dihedral 8-4-13-16	-1.3341218045139085	-1.4505115276733964	-1.3757221401448299
Dihedral 8-4-13-17	0.7643137266279213	0.5749839025383005	0.6774026453101251
Dihedral 9-4-13-12	0.6265088921267269	0.5491211550274915	0.6340345864933701
Dihedral 9-4-13-16	2.735625204350483	2.6777447035793505	2.760866810879284
Dihedral 9-4-13-17	-1.4491245716872738	-1.579945173388539	-1.4691937108453477
Dihedral 1-12-13-4	0.019325392091913505	0.10127476023787485	0.027692198287518177
Dihedral 1-12-13-16	-2.0737947111427135	-1.5981019545026522	-1.5901849190336252
Dihedral 1-12-13-17	2.0846445439546066	1.6989474275940846	1.5280799919244754
Dihedral 14-12-13-4	-2.0317321066961043	-1.574730113130021	-1.5037924664524276
Dihedral 14-12-13-16	2.158333097248855	3.009078479309038	-3.121669583773571
Dihedral 14-12-13-17	0.033587045166588794	0.02294255422618864	-0.0034046728154707015
Dihedral 15-12-13-4	2.1254643493238925	1.7492827638655624	1.6095006517255284
Dihedral 15-12-13-16	0.032344246089265484	0.04990604912503518	-0.00837646559561492
Dihedral 15-12-13-17	-2.0924018059930005	-2.9362298759578143	3.1098884453624853
